id,atr1,atr2,atr3,atr4,opis,datum_prip,kategorija,pluzenje,dolzina1,z_enota,z_opis,z_kategori,z_dolzina,z_plocniki,zelenice_1,ime,geometry
37330143.0,10.0,,,535501,Novi trg,2022/06/04 00:00:00.000,javna pot,SKLOP2,272.0,PEZ 2,Novi trg,javna pot,314.0,360.0,,,"LINESTRING (520156.63 123049.08, 520154.29 123050.98, 520152.49 123053.48, 520151.08 123057.13, 520149.93 123060.83, 520148.74 123065.4, 520147.17 123071.7, 520146.68 123073.89, 520145.71 123078.14, 520143.92 123085.84, 520142.75 123090.83, 520142.02 123094, 520140.25 123101.63, 520138.98 123107.05, 520138.34 123109.83, 520135.92 123120.16, 520135.05 123123.87, 520133.76 123129.41, 520131.35 123139.71, 520130.46 123143.49, 520128.96 123149.94, 520126.36 123161.05, 520123.66 123172.65, 520122.09 123179.35, 520119.76 123189.37, 520117.46 123199.29, 520115.43 123208.01, 520113.39 123216.79, 520111.75 123223.86, 520109.74 123232.76, 520108.29 123239.15, 520107.67 123241.89, 520106.61 123246.61, 520105.5 123251.86, 520104.16 123258.25, 520102.89 123264.68, 520101.58 123271.32, 520109.25 123273.24, 520115.54 123274.82, 520120.19 123275.98, 520126.36 123277.49, 520132.53 123278.95, 520137.65 123280.06, 520142.83 123280.96)"
37330139.0,11.0,,,038386,Ulica mesta Grevenbroich do S*,2022/06/04 00:00:00.000,glavna mestna cesta,SKLOP1,220.0,,,,,,,,"LINESTRING (520204.66 123058.34, 520202.85 123066.74, 520200.46 123077.84, 520198.26 123087.63, 520195.84 123097.97, 520193.87 123106.18, 520191.33 123116.96, 520188.94 123127.1, 520185.81 123140.64, 520183.92 123148.79, 520180.97 123161.55, 520178.85 123170.71, 520176.67 123180.14, 520173.18 123195.21, 520170.62 123206.27, 520168.14 123216.99, 520165.77 123227.24, 520163.36 123237.64, 520160.87 123248.44, 520158.75 123257.59, 520156.6 123267.51, 520155.38 123273.11)"
37330149.0,10.0,,,535661,Ĺ kapinova ulica do HĹ  1,2022/06/04 00:00:00.000,javna pot,SKLOP2,162.0,PEZ 2,Škapinova ulica do HŠ 1,javna pot,162.0,124.0,,,"LINESTRING (520228.77 123291.56, 520228.52 123283.06, 520228.29 123275.98, 520228.16 123272.79, 520228.02 123269.64, 520228.01 123268.74, 520227.95 123262.81, 520228.1 123257.79, 520228.16 123255.9, 520228.96 123249.11, 520230.34 123242.45, 520232.31 123235.87, 520234.78 123229.45, 520237.73 123223.23, 520240.74 123217.18, 520243.84 123211.28, 520246.86 123205.28, 520249.55 123199.11, 520250.33 123196.88, 520251.77 123192.77, 520253.35 123186.27, 520254.31 123179.75, 520254.42 123178.32, 520254.79 123173.43, 520254.84 123167.32, 520254.63 123161.52, 520254.51 123159.66, 520254.27 123156.08, 520253.55 123147.38, 520253.34 123144.08, 520253.09 123140.2, 520252.79 123134.91)"
37330038.0,10.0,,,535882,Valvasorjeva ulica do HĹ  62a,2022/06/04 00:00:00.000,javna pot,SKLOP2,153.0,PEZ 1,Valvasorjeva ulica do HŠ 62a,javna pot,153.0,,,,"LINESTRING (519195.95 123115.36, 519190.92 123112.63, 519186.18 123110.13, 519179.91 123106.63, 519171.74 123102.07, 519162.92 123097.15, 519155.92 123093.24, 519147.87 123088.75, 519139.88 123084.27, 519131.49 123079.57, 519122.91 123074.77, 519113.98 123069.76, 519104.37 123064.26, 519093.63 123058.11, 519081.89 123051.39, 519069.21 123044.14, 519062.43 123040.38)"
37330096.0,10.0,,,535881,Valvasorjeva ulica do HĹ  32e,2022/06/04 00:00:00.000,javna pot,SKLOP2,122.0,PEZ 1,Valvasorjeva ulica do HŠ 32e,javna pot,208.0,,,,"LINESTRING (519195.95 123115.36, 519202.47 123118.9, 519206.4 123121.09, 519211.22 123123.68, 519217.18 123126.79, 519223.01 123129.83, 519229.82 123133.39, 519237.37 123137.34, 519246.07 123141.89, 519256.56 123147.38, 519264.76 123151.75, 519273.46 123156.38, 519283.41 123161.68, 519290.12 123165.22, 519293.02 123166.75, 519296.16 123168.41, 519304.17 123172.63)"
37330039.0,10.0,,,535881,Valvasorjeva ulica do HĹ  32e,2022/06/04 00:00:00.000,javna pot,SKLOP2,86.0,PEZ 1,Valvasorjeva ulica do HŠ 32e,javna pot,208.0,,,,"LINESTRING (519223.05 123034.43, 519222.42 123039.78, 519221.55 123045.77, 519220.72 123050.3, 519219.48 123056.32, 519218.18 123061.44, 519216.65 123066.5, 519214.86 123071.67, 519212.19 123078.63, 519209.2 123085.37, 519206.07 123092.43, 519203.19 123098.75, 519200.7 123104.28, 519198.14 123110.31, 519195.95 123115.36)"
37330087.0,10.0,,,532214,Ulica Zofke Kvedrove do HĹ  19,2022/06/04 00:00:00.000,javna pot,SKLOP2,149.0,PEZ 1,Ulica Zofke Kvedrove do HŠ 19,javna pot,149.0,,,,"LINESTRING (519455.49 123155.26, 519452.68 123154.2, 519449.63 123153.41, 519446.22 123152.71, 519440.09 123151.75, 519434.55 123150.82, 519428.84 123149.81, 519415.88 123147.47, 519410.5 123146.55, 519406.47 123146.11, 519402.65 123145.95, 519395.9 123146.23, 519382.62 123147.21, 519378.02 123147.47, 519373.07 123147.63, 519366.99 123147.34, 519360.34 123146.89, 519353.89 123146.11, 519347.4 123144.96, 519340.87 123143.67, 519334.6 123142.11, 519328.47 123140.31, 519321.82 123138.05, 519316.33 123136.19, 519309.07 123133.74)"
37330137.0,10.0,,,532212,Cesta na ostroĹľno â€“ most,2022/06/04 00:00:00.000,javna pot,SKLOP2,54.0,PEZ 1,Cesta na ostrožno - most,javna pot,54.0,,,,"LINESTRING (519370.15 123259.23, 519375.8 123253.23, 519382.79 123245.8, 519384.04 123244.47, 519387.97 123240.29, 519392.56 123235.41, 519394.41 123233.45, 519398.14 123229.48, 519402.34 123225.02, 519406.95 123220.11)"
37329548.0,10.0,1.0,,011041,most 532212,2022/06/04 00:00:00.000,javna pot,SKLOP2,15.0,PEZ 1,most 532212,javna pot,15.0,,,,"LINESTRING (519384.04 123244.47, 519387.97 123240.29, 519392.56 123235.41, 519394.41 123233.45)"
37329758.0,13.0,,,032653,Cesta na OstroĹľno - do mostu,2022/06/04 00:00:00.000,mestna ali krajevna cesta,SKLOP1,82.0,,,,,,,,"LINESTRING (519455.49 123155.26, 519453.54 123159.52, 519450.75 123165.36, 519448.26 123170.45, 519445.69 123175.24, 519443.42 123179.26, 519440.86 123183.29, 519437.98 123187.1, 519435.15 123190.58, 519432.08 123193.95, 519428.87 123197.36, 519425.29 123201.15, 519420.4 123206.19, 519414.45 123212.32, 519406.95 123220.11)"
